Member Id,Survey Id,Status,Length
1,16,4,10
1,25,3,
1,45,4,24
1,79,3,
1,82,4,6
1,95,2,
2,1,4,20
2,18,4,16
2,30,4,21
2,44,4,24
2,49,3,
2,51,4,19
2,60,4,16
2,62,3,
2,65,3,
2,82,4,24
2,85,4,19
2,97,4,18
3,3,3,
3,13,3,
3,16,4,6
3,23,3,
3,25,4,9
3,38,3,
3,47,4,7
3,51,4,19
3,58,4,20
3,64,4,9
3,78,4,5
3,79,3,
3,81,2,
3,82,3,
4,20,4,7
4,35,2,
4,50,4,10
4,62,4,5
4,64,3,
4,75,3,
5,3,2,
5,4,4,6
5,15,2,
5,57,4,19
5,60,4,11
5,68,3,
6,20,4,9
6,30,3,
6,40,4,18
6,59,4,12
6,63,4,19
6,65,3,
6,75,3,
6,77,4,23
6,83,4,6
6,86,3,
6,96,3,
6,100,4,6
7,2,4,11
7,10,4,25
7,24,2,
7,33,4,9
7,54,3,
7,66,3,
7,78,2,
8,12,4,8
8,21,4,22
8,44,4,12
8,46,4,24
8,52,4,20
8,54,2,
8,57,2,
8,59,4,11
8,70,4,8
8,73,4,23
8,77,2,
8,79,3,
8,88,4,12
8,96,4,14
9,6,4,8
9,21,4,17
9,22,3,
9,54,4,9
9,61,4,21
9,98,4,18
9,100,4,14
10,2,4,11
10,4,3,
10,17,4,7
10,27,4,16
10,30,4,5
10,33,4,20
10,35,4,13
10,36,4,10
10,43,4,24
10,71,4,11
10,72,4,16
10,79,3,
10,80,2,
10,81,4,9
10,84,4,16
10,87,3,
10,93,4,7
10,100,2,
11,5,3,
11,20,4,6
11,23,4,11
11,30,4,16
11,34,4,18
11,41,4,8
11,66,2,
11,67,4,25
11,70,4,17
11,85,4,5
11,88,4,20
11,89,2,
11,91,2,
12,2,4,18
12,3,4,5
12,4,3,
12,6,2,
12,17,4,6
12,21,3,
12,31,4,18
12,39,4,5
12,47,4,7
12,58,4,18
12,63,4,8
12,86,4,25
12,91,3,
12,94,4,16
13,23,4,15
13,24,4,21
13,25,4,10
13,28,4,5
13,37,4,23
13,53,3,
13,61,4,18
13,65,4,9
13,69,4,11
13,76,4,8
13,78,4,12
13,82,2,
13,97,4,11
14,3,4,23
14,12,4,18
14,15,3,
14,25,4,11
14,27,3,
14,29,4,15
14,31,4,14
14,47,4,12
14,57,3,
14,60,3,
14,64,4,16
14,74,4,18
14,86,4,18
14,87,3,
15,3,4,6
15,16,4,18
15,23,4,25
15,36,3,
15,60,3,
15,65,4,12
15,81,4,8
15,97,4,18
15,99,4,16
16,4,4,23
16,19,4,19
16,24,4,21
16,28,4,5
16,32,2,
16,36,4,19
16,54,3,
16,61,4,10
16,69,4,18
16,84,4,12
16,93,4,22
17,4,4,16
17,6,4,15
17,18,4,20
17,37,4,14
17,63,4,25
17,65,3,
17,67,3,
17,79,3,
17,95,4,13
17,100,4,20
18,5,3,
18,13,2,
18,18,4,24
18,27,3,
18,34,4,6
18,37,2,
18,41,4,10
18,61,4,14
18,62,4,15
18,92,4,6
18,93,4,17
18,94,4,9
19,15,4,12
19,22,3,
19,26,3,
19,28,2,
19,34,4,12
19,51,4,8
19,54,4,7
19,79,4,9
19,88,4,14
20,4,3,
20,10,3,
20,27,4,18
20,29,2,
20,32,4,17
20,40,4,22
20,44,4,20
20,50,4,18
20,57,4,11
20,70,4,6
20,73,2,
20,80,4,7
20,83,3,
20,86,4,7
21,5,4,6
21,7,4,20
21,8,2,
21,9,2,
21,11,3,
21,17,2,
21,38,3,
21,53,4,24
21,54,2,
21,55,3,
21,66,4,24
21,69,3,
21,82,4,19
21,86,4,12
21,88,4,6
21,90,4,25
21,98,3,
22,11,4,17
22,18,2,
22,45,4,19
22,47,3,
22,51,4,8
22,55,4,18
22,56,4,5
22,82,3,
22,84,4,22
22,86,4,17
22,92,2,
23,23,4,17
23,41,4,23
23,47,4,23
23,54,3,
23,82,3,
24,17,4,17
24,19,2,
24,28,3,
24,31,4,15
24,41,2,
24,43,3,
24,63,4,22
24,64,3,
24,67,4,22
24,68,4,8
24,77,4,10
24,81,4,17
24,89,4,20
24,95,4,12
25,10,4,21
25,16,4,6
25,25,4,6
25,49,4,16
25,76,3,
25,79,4,9
25,81,3,
25,96,4,19
26,4,4,24
26,9,4,25
26,11,4,13
26,53,3,
26,57,2,
26,62,3,
26,74,4,10
26,100,3,
27,9,4,22
27,26,4,24
27,40,4,23
27,43,4,15
27,52,3,
27,61,4,21
27,63,3,
27,67,4,17
27,79,4,20
27,95,2,
28,14,4,8
28,21,4,25
28,26,4,9
28,60,4,9
28,80,2,
28,84,4,16
28,89,4,13
29,3,4,18
29,4,4,17
29,11,4,8
29,22,4,7
29,53,4,22
29,64,3,
29,71,4,25
29,72,3,
29,78,3,
30,19,4,11
30,32,3,
30,34,4,9
30,36,4,15
30,47,4,14
30,48,4,11
30,55,2,
30,57,4,16
30,60,2,
30,73,4,11
30,85,4,16
30,89,4,22
31,6,3,
31,10,3,
31,11,4,22
31,26,4,24
31,42,3,
31,58,4,17
31,62,4,25
31,70,4,15
32,2,4,10
32,5,4,14
32,6,2,
32,14,4,18
32,33,4,9
32,35,4,6
32,37,4,19
32,39,4,25
32,58,4,14
