Survey Id,Name,Expected completes,Completion points,Filtered points
1,Survey 01,30,5,2
2,Survey 02,70,15,4
3,Survey 03,100,10,2
4,Survey 04,20,10,1
5,Survey 05,20,35,4
6,Survey 06,50,25,5
7,Survey 07,50,45,3
8,Survey 08,60,5,4
9,Survey 09,100,35,2
10,Survey 10,50,5,2
11,Survey 11,90,45,4
12,Survey 12,80,5,1
13,Survey 13,40,40,3
14,Survey 14,80,50,2
15,Survey 15,90,10,1
16,Survey 16,90,45,3
17,Survey 17,70,15,5
18,Survey 18,60,25,4
19,Survey 19,90,45,5
20,Survey 20,90,20,5
21,Survey 21,20,50,3
22,Survey 22,80,40,3
23,Survey 23,60,10,4
24,Survey 24,30,35,1
25,Survey 25,80,5,5
26,Survey 26,100,5,2
27,Survey 27,70,15,1
28,Survey 28,20,10,4
29,Survey 29,100,50,3
30,Survey 30,70,25,2
31,Survey 31,40,50,2
32,Survey 32,50,40,2
33,Survey 33,20,25,5
34,Survey 34,70,15,5
35,Survey 35,40,10,4
36,Survey 36,70,35,2
37,Survey 37,90,25,2
38,Survey 38,40,30,1
39,Survey 39,90,40,2
40,Survey 40,80,10,5
41,Survey 41,70,40,5
42,Survey 42,10,25,4
43,Survey 43,10,30,5
44,Survey 44,10,35,5
45,Survey 45,80,20,2
46,Survey 46,70,10,2
47,Survey 47,60,20,3
48,Survey 48,60,40,5
49,Survey 49,10,35,4
50,Survey 50,70,35,5
51,Survey 51,40,15,2
52,Survey 52,40,40,3
53,Survey 53,70,20,5
54,Survey 54,90,25,4
55,Survey 55,70,35,1
56,Survey 56,10,10,1
57,Survey 57,30,45,3
58,Survey 58,10,45,2
59,Survey 59,100,40,2
60,Survey 60,60,35,2
61,Survey 61,90,40,4
62,Survey 62,70,40,3
63,Survey 63,50,30,5
64,Survey 64,10,10,5
65,Survey 65,40,20,5
66,Survey 66,60,15,3
67,Survey 67,30,35,5
68,Survey 68,30,5,3
69,Survey 69,40,10,1
70,Survey 70,90,30,5
71,Survey 71,10,30,3
72,Survey 72,50,25,3
73,Survey 73,40,15,2
74,Survey 74,20,50,1
75,Survey 75,70,10,5
76,Survey 76,50,40,5
77,Survey 77,50,25,1
78,Survey 78,20,30,3
79,Survey 79,10,20,5
80,Survey 80,100,45,1
81,Survey 81,100,20,1
82,Survey 82,40,35,4
83,Survey 83,40,5,5
84,Survey 84,50,25,2
85,Survey 85,100,25,2
86,Survey 86,90,30,4
87,Survey 87,20,15,4
88,Survey 88,70,30,3
89,Survey 89,50,10,1
90,Survey 90,100,5,2
91,Survey 91,30,5,4
92,Survey 92,100,45,4
93,Survey 93,20,45,1
94,Survey 94,90,5,4
95,Survey 95,80,15,5
96,Survey 96,80,50,5
97,Survey 97,10,35,1
98,Survey 98,70,45,5
99,Survey 99,30,25,3
100,Survey 100,100,10,3
